,index,tweet,label
19,50024,"@Mrperfect141414 @reenasa27 रुखमा भोट  भनेको खुट्टा, मन, स्वाभिमानमा   चोट हो! नागरिकहरु यो चोट र खोट बोकने की समृदीको यात्रा तय गर्ने आफै निर्णय ग़र्नुहोला!",1
20,50026,थुक्क साले गधाहरुलाई भोट हाल्न पनि यसरी दुःख गर्दै जानुपर्ने? मत हाल्ने पनि तिनै काँग्रेस एमाले माओवादीलाई त होला। जनताको चेतना जागोस् प्रभु:folded_hands: https://t.co/eiocSaRmJF,1
21,50030,"काङ्ग्रेस नेतृ आर्जु राणा देउवाको भोट माग्ने तरिका खत्रा लाग्यो, ""काङ्ग्रेसको मेयर नजिते बजेट पठाउदैन,यो कुरा ख्याल गर्नु""। 
यो भोट माग्या हो कि धम्काएको?",0
22,50031,"@bbcnepali जसले यी महिलालाइ संसदमा ल्याए, 
ती सबै भ्रष्ट पुरुष नेता थिए। 
त्यसैले यीनले उनिहरुको मतियार भएर काम गरे। 

सांसद भएर जनताको लागि स्वतन्त्ररुपमा सोंच्न सक्ने मानिसलाई संसदमा पठाउन सक्नु पर्छ।

#NoNotAgain",0
23,50032,काङ्ग्रेस बाट टाउकाको मूल्य तोकि मागेका माओवादीहरु अहिले काङ्ग्रेस सङ टाउको जोडेर हिडिरहेका छन। थुक्क नेपाली राजनीति भन्छन गाउँ घरतिर...,0
24,50033,"काग्रेसले एमालेलाई भ्रष्ट 
एमाले काग्रेस माओबादीलाई भ्रष्ट भन्ने देशमा यिनै ठुला पाटिको हालि मुलि छ,आखिर भ्रष्ट को??
वाक्क भैसके जनता य‍ो सुन्दा सुन्दा!:winking_face:

जनता भन्छन यी तिनै वटा पाटि भ्रष्ट छन।
:face_with_tears_of_joy::face_with_tears_of_joy:",1
25,50034,"Punjab Elections 2022: अरविंद केजरीवाल ने लगाया आरोप, ED कर सकती है सत्‍येंद्र जैन को गिरफ्तार #Totaltv #AssemblyElections2022 #PunjabElection2022 
https://t.co/7kPIAW0bLc",0
26,50035,"धरानमा जनमुक्ति पार्टी र स्वतन्त्र उम्मेदवार हर्क साम्पाङ हरुको जित सुनिस्चित हुने देखिन्छ,0७ सालदेखि पालैपालो चुनाव जित्दै मोजमस्ती गर्दै यहासम्म आइपुगेका देशद्रोही बलात्कारि पार्टीको रूपमा परिचित काङ्ग्रेस र नेकपा एमाले बिमाले हरु लगभग जरैदेखि नै पतासाफ हुन्छन् जस्तो छाट,छ!",1
27,50037,"लखीमपुर पहुचे टिकैत, सरकार पर साधा निशाना, कहा- हिजाब नहीं हिसाब होगा
#Lakhimpur @AjayLalluINC @DrLaxman_Yadav @yadavakhilesh @shivpalsinghyad @RakeshTikaitBKU #UttarakhandElections2022 @BJP4UP #UttarPradesh 

https://t.co/rplLE4tJG6",2
28,50038,एमाले र राप्रपा पत्ता साफ हुनु २ दिन बाकी,1
29,50042,"नेपाली कांग्रेसका महामन्त्री गगनकुमार थापाले खेर गएको ५ वर्षको जिम्मा नेपालका ठूला कम्युनिष्ट दलले लिनुपर्ने बताएका छन् ।
https://t.co/qDpxdm2wwE",1
30,50044,काँग्रेसीहरुले मेहेनत नैं नगरिकन जित्ने विराटनर महानगर जस्तो गढको उपमेयर पद एमालेलाई बुझाए। यिनले गर्छन राजनीति !!!,1
31,50046,"एमाले एक क्विन्टलको आलु हो, हामी एक-एक तोलाका सुन हौँ : विश्वप्रकाश शर्मा (भिडियो)

https://t.co/BJNAFaKV1V",1
32,50047,"@LeokoAama तोईट आन्टी !
टुईटरको स्पेसमा झुमिन्ने बकम्फुसे नेपाली त्यो नि डिभी परेका, तल्लो बाटोबाट अम्रिका छिरेर एसाइलम गरेर ठुलठुला धाक लगाउनेको हेरेर नेपालि जाति भन्ने?
प्रोफेसनलको क्लास नै अर्को रहेछ पश्चिमी मुलुकमा :smiling_face_with_smiling_eyes:
संगत गुणाको तुलना भो आन्टी:face_with_tongue:
हाम्रा गाउँ का सोझा नेपाली ले सुने भने ?",2
33,50049,"भरतपुर महानगरमा रेणु यादव :face_with_tears_of_joy:जिताउन सिंगो राज्य संयन्त्र धम्की पूर्ण भाषा सहित अनि एक जना जोक्कर पनि कम्मर कसेर लागिरहेका छन ।
त्यस्तै यता नवलपुरको देवचुली नगरपालिका जिताउन नेपालका एक मात्र फोर्ब्सको सूचिमा समाहित धनाढ्य पनि ।

धन्न यता चाँही देश दुर्घटनामा जाने चेतावनी आएको छैन ।",0
34,50050,"वलि : कहिलेकाहीँ मैले बोली सकेपछि तालि पिट्नुहोस  साथिहरु

साथिहरु: सर्प आयो 
अगाडि को छेरुवा साथि: सर्प हैन प्रचण्ड  हो :face_with_tears_of_joy::face_with_tears_of_joy: 

नोट :हामी ठाउँको ठाउँ  ठगिरहेका छम  तेसैले भोट फर लौरो . https://t.co/ooh5jg5VQ9",0
35,50051,"मोहल्ला क्लिनिक क्लोज हैं, ठेके खुल रहे रोज है
#KejriwalMohallaTheka 
#UPElections2022 #UPElection2022 #GoaElections2022 #UttarakhandElections2022",0
36,50052,"यह #हिंदुत्व और #Hindu लोगों के ठेकेदार बने हुए हैं। 
#YogiAdityanath 
#UttarPradeshElections2022 https://t.co/8IF7cP47fX",0
37,50053,"चुनाव अघि मासुभात, नेताको साथ,मीठा मीठा बात,
 चुनाब पछि पुर्पुरोमा हात,तिनै नेताको लात,अनि सत्वसराप ?:collision::collision:",0
38,50054,"Hoshiyar, Khabardaar! ये आदमी टोपी पहनता नहीं... पहनाता है.
#UttarakhandElections2022 और #ManipurElections2022 पर निशाना है. हमेशा की तरह लोगों को बेवक़ूफ़ बनाना है.
इसकी नीयत कभी साफ़ नहीं थी, न है, न रहेगी.
#RepublicDayIndia  #गणतंत्रदिवस https://t.co/81XCYzKWac",0
39,50056,"ब्रेकिंग न्यूज - 

इस बार @priyankagandhi जी 11 मार्च को यूपी के मुख्यमंत्री के रूप में  शपथ लेंगी!!..

#लड़की_हूँ_लड़_सकती_हूँ #BJP_हटाओ_देश_बचायो 
#Elections2022 #UttarPradeshElections2022",1
40,50057,नेपाली काँग्रेसका सभापति तथा प्रधानमन्त्री शेरबहादुर देउवाले पाँच दलीय गठबन्धन ऐतिहासिक तथा राष्ट्रिय आवश्यकतामा निर्माण भएको बताउनुभएको छ । https://t.co/O0Cr6ricVk,0
41,50058,"#NoNotAgain -कम्फर्टेवलधारी, परामदेशधारी, आतंककारी, भारतसंग लम्पसारबादी, जनयुद्धको नाममा मान्छेमारी, मन्त्रालय फटाएर लुटधारी, अदालत किनबेचधारी, अचाक्ली मूल्यबृद्धिधारी, फ्री भिसा फ्री टिकटधारी, छेपारो प्रवृती धारी, गठबन्धनधारी",0
42,50060,"दूसरों से पैसे लें, पर वोट AAP को दें': आचार संहिता को पंजाब में 'आप' ने दिखाया ठेंगा, चुनाव आयोग ने थमाया नोटिस
आप वालों की नोटंकी चालू...??

#PunjabElections2022 #AAP 

https://t.co/jRfaXCVmjy",1
43,50061,"जसरीपनि प्रचण्डकी छोरीलाई जिताउने र जगन्नाथलाई निष्कृय बनाउने""सम्प्रेषित समाचारलाई साम,दाम,दण्ड,भेदी जबर्जस्त रणनीति स्वरुप देउवा चिचवनमै बास बस्नुले पुष्टि गर्छ जस्बाट जगन्नाथको राजनीतिक उचाई एकाएक चुलिएको छ भने काङरेसको सर्मनाकआत्मसमर्पण,दुर्मति र दुर्गति!फासिवादी लोकतन्त्र !",0
44,50062,"भाईजान' की पुकार
सुन लो कृष्ण भगवान :folded_hands:
#UttarPradeshElections2022 https://t.co/WKzopECvAV",2
45,50064,"जसलाई प्रतिगमनकारी र देशको शत्रु भन्नुभयो, पछि उसैको शरणमा जानुभयो । आफ्नै स्वार्थको खातिर फेरिईरहने तपाईको बोली र व्यवहार हामीले देखिसक्यौ ।
युवाको नाममा कलन्क तपाईं प्रतिगामिले हार्नैपर्छ।
#NoNotAgain #No_Not_Again https://t.co/uhQaQK3Pyq",0
46,50065,"@GThapa25 @newborn122 @Madankkharel @Bhismak1962 @ParajuliKamal @SabitaDhimal @DharelLama @Prakash_officel @55Kthm @me_ubh @Krishna72952181 @jHakash_S22 @ArpanSh06 @acharya_susma @hello_acharya @KamalBh12278882 माने ससम्मान नमाने घोक्रे ठ्याक लगाएर निकालौँ न है,यिनी हरू लाई अब।
सबै ले यो अभियान लाई आगो जसरी फैलाऔँ न:folded_hands::folded_hands:
हुन्न?
#NoNotAgain
#PmUnder50 https://t.co/2U7PIrsyGu",2
47,50067,"निर्वाचन नतिजाकाे शिक्षा याे पनि- कांग्रेससंगकाे गठबन्धन र तालमेल कम्युनिस्टहरूका लागि बेकार हाे।ओली, दाहाल,नेपाल,खनाल नेतृत्व छाेड,कुनै नयाँ नेता मानेर फेरि कम्युनिस्ट एकता गर,आउँने मंसिरकाे चुनाव अघि नै।कांग्रेस बरु लाेकतान्त्रिक गठबन्धनतिर साेच।राजनीति नेचुरल काेर्समा फर्काेस",1
48,50070,"#WinWinSituation 

@RahulGandhi उसको तो कतई CM का टिकट नहीं देंगे जिसने उन्हें पप्पू की ख्याति दिलवाई और अगर फिर भी दे दिया तो कसम से तुम पप्पू कहलाने के ही लायक हो

#PunjabElections2022 
#PunjabAssemblyElections2022 
#PunjabCongress",0
49,50071,#NoNotAgain ले माहामारीमा स्वास्थ्य सामाग्री खरिदमा भ्रस्टचार गर्ने भ्यक्सिनमा कमिसन खाने लाजनेता का नाजायज झोलेहरुको चाकमा पोलेछ छटपटाउदै छ्न भोट हाल्नु अघि सोचौ . भ्रस्टचार र कमिसनमा लुट्दै गर्दा भोकै ज्यान गुमाएका सुर्यबहादुर https://t.co/RrR1jkZNHw,0
50,50072,"सांसदों से ऐसे वैसे सवाल मत पूछे मीडिया. जिसका जबाब वो ना दे सकें.

ऐसे सवालों को पूछिऐ जिसमें न्यूज बन सके. महंगाई, बेरोजगारी जैसे फिजूल के मुद्दे हैं सांसद तो अब तक यहीं समझते हैं.

यहीं फिजूल के मुद्दे तुमें ले डूबेगे..?
#UPElection2022 #Election2022 #UttarPradeshElections2022 https://t.co/2gVXYgBCx1",1
51,50073,"कमेडिएन र छाडा बोल्ने भेलु बाजे कै संगतमा राख्नु पर्ने डक्टर्नि डडेल्धुरेलि बजै:winking_face_with_tongue::winking_face_with_tongue::winking_face_with_tongue::winking_face_with_tongue:
#NoNotAgain https://t.co/78CSS8iHs0",0
52,50074,"#GoaElections2022 योगी जी को चुनना जिनकी वजह से आपका घर-परिवार ""सुरक्षित"" रहे।
टोंटी को मत चुन लेना जिसकी वजह से आपको लिखना पड़े,
''यह घर बिकाऊ हैं """,2
53,50075,"@ManojDahal @RabindraMishra तपाई बढता बोल्दै हुनुहुन्छ,मैले अक्सफोर्ड कहाँबाट ल्याउने भनेर हप्काउने देउवा भन्दा अराजक, असभ्य र अमानवीय जनप्रतिनिधि पनि छन र नेपालमा?कि आफ्नाले चैं पादेको पनि बास्ना आउने पो हो कि?",0
54,50076,"ए मुर्खहरु हो ! जात्रा पर्वमा मात्रै "" नायखि, धिमे "" बजाउने लाखे नचाउने हो। तेरो बाउलाइ भोट माग्नलाइ होइन ।",0
55,50078,"@Sadiksha_karki_ जन्मजात बामाले, खाऊँरेस र म्याउवादी हरू ले अनि नानिका बा का, टुक्का बा का, अनि देउवा बा का छोर्छरी हरू ले बैकल्पिक शक्ती हरू लाई उदाउनै नदिने र खेदेरै छोड्ने कुसंस्कार ले जरा गाडेको छ:face_with_rolling_eyes::face_with_rolling_eyes:",0
56,50079,सिन्धुपाल्चोकमा हजार-हजारका नोट्ले खुट्टा ढोग्दै भोट माग्ने काङ्ग्रेसि भाइरल उमेदवार एक प्रतिनिधि पात्र मात्रै हुन वहाहरुको पार्टीमा भोट माग्ने सुत्र देशभरी नै त्यहि हो ।,1
57,50081,"""कांग्रेस/बीजेपी भाई-भाई,दोनो ऐसे जैसे लोग लुगाई""
#GoaElections2022 में कांग्रेस को वोट देने से पहले सोच लेना भाई https://t.co/kGOpZURCjn",1
58,50082,"#PunjabElections2022 
चन्नी को हराने के लिए मैं घर-घर भीख मांगूंगा कि इस पापी को वोट मत डालो- कांग्रेस नेता कांग
मैं खरड़ से टिकट मांग रहा था लेकिन चन्नी ने हाईकमान को गुमराह किया
उसने अपने एक चहेते को टिकट दिलाई जो शराब का ठेकेदार है
@CHARANJITCHANNI #Kang https://t.co/SJL2kgfeF9",0
59,50083,रूखमा त पानी पो हाल्ने हो त । काँ भोट हाल्नी हो त :face_savoring_food:,1
60,50084,@Lunabs8 कुन बिद्रुप मति भएका निर्वाचन अधिकृत सुरक्षा अधिकृत खटिएका रहेछन यो केन्द्रमा र जनताको सेवा गर्छु भनेर निर्वाचनमा होमिएका नेता कार्यकर्ता कति संबेदन हिन रहेछन भन्ने यी अपाड्०ग मतदाता प्रति गरेको ब्यवहारले देखाउॅंछ।,0
61,50086,#NoNotAgain  यस्ता चुतियालाइ जिताउनु जिन्दकिको ठुलो भुल हुनेछ।,0
62,50087,निर्वाचन अघि नै ओलीले पराजय स्वीकार गरिसके : पुन https://t.co/u0Ue1LTNbZ,0
63,50088,"@Shekharnc पानीट्यान्की ले तेस्रो बरियाता नाघेर पोख्रेल लाई माथी  पुर्याउदा  तिमी  कुम्भकर्ण  जस्तै  सुतेका  थिएऔ,?? बात  गर्छौ,, एमाले  तिर  जाउ, भलो  होला,",2
64,50090,"@priyankagandhi @myogiadityanath चाहे केंद्र की मोदी सरकार हो या उत्तरप्रदेश की आदित्यनाथ सरकार हो जब तक संघी सरकार रहेंगी आमजन, युवा, गरीब, समाज की बर्बादी तय!
इस बर्बादी को रोकने का एकमात्र रास्ता,
संघी सरकारों की वोट की चोट से विदाई!
जयहिंद!
#Elections2022 #UttarPradeshElections2022 #AssemblyElections2022",0
65,50091,"अरे यार,
किसी ने मुझे बताया नहीं कि पंजाब में CM Candidate का चेहरा Narendra Modi हैं!

भारत के प्रधानमंत्री के पद से इस्तीफा कब दे दिया इन्होंने..?

#PunjabElections2022 #NarendraModi https://t.co/PmoT0J3rQA",0
66,50092,"काठमान्डौं १ बाट प्रकाशमान बाहेक जसलाई जिताए नि हुने रहेछ ! 
#NoNotAgain है",0
67,50095,"चाहे वोट कहीं भी जाये...
बीजेपी न आने पाये

#UPElection2022 #GoaElections2022 #ManipurElection2022 #PunjabElection2022 #Uttarakhand",1
68,50096,"रामपुर में जो नुकसान हुआ उसके जिम्मेदार आजम खान- नावेद मियां, कांग्रेस प्रत्याशी

#NewsNationTV #UttarPradeshElections2022  #ElectionWithNN #UttarPradeshElection2022 #UPElection2022 #UPElection https://t.co/QvGrhemvhr",0
69,50097,"अरविंद की है खूबी, जिसने जनता की जेब है खूब लूटी।
---------------
कुछ कहना चाहेंगे #फर्जीवाल जी?
#Kejriwal #PunjabElections2022 https://t.co/38oRMYxEnQ",0
70,50099,"#Punjab:वो(नवजोत सिंह सिद्धू) तो बदलाव कितने सालों से कर रहे हैं। कोई सिद्धु प्रोग्राम लगाना चाहता है, पता नहीं क्या प्रोग्राम है। कांग्रेस का पंजाब से सफाया होने वाला है: पंजाब के पूर्व मुख्यमंत्री कैप्टन अमरिंदर सिंह 
@capt_amarinder #PunjabElections2022 #News1IndiaTweet https://t.co/n2mtLrBUE5",0
71,50100,@Neupane1Binod प्रधानमन्त्री देउवाले आफैंले कार्बाही गरिसके पछी फ़ेरि पनि दबाब दिनु आचारसंहिता बिपरित हो! निर्वाचन आयोग के हेर्दै छ ?,0
72,50101,@dp_adhikari @Alive_Aleeza रूखमा भोट हाल्ने कांग्रेस देशद्रोही हुन्। सभापतिले भनेको नमान्ने कांग्रेसलाई सय कोर्रा लाइनेछ किनकि दासहरूले मालिकका आदेश मान्नैपर्छ। यतिखेर देउवा मालिक हुन्। मालिक्नी को हो आफै पत्ता लाउनुस्।,1
73,50102,"@ECNOfficial @realpbhattarai #NoNotAgain

यस्ता बिकुवा निर्वाचन आयोगका पदाधिकारी पनि #NoNotAgain stop your nonsense warning.",1
74,50104,"कायर दाहाल र देउवा, आतंककारी, छद्म, ठगी कम्युनिष्टलाई भोट हाल्नुअघि चितवनका जनता मर्नेछन् । तिम्रो अधिनायकवाद सकियो। नेपालीले तपाई अपराधीसँग न्याय माग्नेछन्। https://t.co/sVJcmajS7P",0
75,50105,"""यो ५ बर्षमा एमालेले बाउको बिर्ता झैं स्थानीय  सरकार संचालन गरेको छ।फेरि अर्को ५ बर्ष हेपिएर, पेलिएर बस्ने कि खुलेर गठबन्धनको लागि काम गर्ने?अब त हामीले भोट हालेर जित्यो भने त हाम्रो नि अधिकार हुन्छ।बोल्ने ठाउँ हुन्छ ।""-भन्छन् त गामतिरका काउँरेसीहरू
र आज एमालेको कुरा सुन्ने दिन!",1
76,50106,कांग्रेस र माओवादीलाई भोट हाल्नु साँढेको टाङमुनी बाल्टी थाप्नु जस्तै हो : राजेन्द्र लिङ्देन https://t.co/uUa6kWcZ6s,1
77,50107,कांग्रेसमा दम्भ देखियाे : माधव नेपाल https://t.co/CedHasjsSv,1
78,50108,"गाय के लिए एंबुलेंस, लेकिन कोविड में लोग ऑक्सीजन कमी से तड़प तड़प कर मर गए, पंचायत चुनावों में कितने शिक्षकों ने अपनी जान गंवाई, गरीबों ने कोविड से मरे प्रिय जनों की लाशों को गंगा बहाया, हेल्थ इन्फ्रास्ट्रक्चर अभी भी लचर है।
इस से नाकारा CM हो सकता था?
#UttarPradeshElections2022 https://t.co/iftq38HC5H",0
79,50110,चुनाव सकिएकाे दोश्रो दिन तेलको मूल्य बढायो त्यसैको तेस्रो दिन सार्वजनिक गाडीकाे भाडा बढायो । सरकारले बढाएको बढाई छ जनताको सुख हैन दुःख बढाएको बढाई छ। त्यसको उपहार स्वरूप जनताले एमालेको विकल्प कांग्रेस या कांग्रेसको विकल्प एमाले पार्टी बनाएका छन् ।,1
80,50111,"साउथ इन्डियन कलाकारहरुले पुष्पा,RRR अनि KGF जस्ता फिल्म बनाउँछन। नेपाली कलाकारहरु CocaCola,Sprite,Esewa अनि क्रीम पाउडरको Ads.बनाउँछ्न त्यो पनि क्लिनफिडले गर्दा।:grinning_face: अनि उनीहरुको रोइलो पनि हामीले सुनिदिनु पर्छ।",0
81,50112,यो घटिया सेन्सरसिप बन्द गर । #nonotagain @DkThapaliya https://t.co/Q6ufJKRx0b,0
82,50113,"ये देखिये :backhand_index_pointing_down::backhand_index_pointing_down:

बेशर्म BJP के काम। 

काम करती नही बस रिश्वत देना इनका काम। 

लेकिन अब की बार कोई झांसे मे नही आने वाला। 
#UttarakhandElections2022

https://t.co/rWe9eC3cpa",1
83,50114,"यदि गाडबन्धन उर्फ गठबन्धन हुदैन थियोे भने कांग्रेसले अझ राम्रो मत पाएर पहिलो हुने थियोे र एमाले दोस्रो राप्रपा तेस्रो र ति केके वादीहरु विलाएर जाने थिए
तर यो ठगबन्धन कारण वादीहरूको साख
त ज‍ोगियो तर नेकालाई ठुलो धम्का पुग्यो र पनि एमालेलाई मात ख्वाउन भने नसक्ने देखियो #कठैबरै :rolling_on_the_floor_laughing:",1
84,50115,"एमाले अहिले कुहिसकेको फर्सीजस्तो भयो : माधव नेपाल
https://t.co/eNDFuLye0s",1
85,50116,"""!! नेपाली काउरेस को नेताको भनाई !!""
 नेकपा चोर हो
नेकपा नेताको भनाई 
नेपाली काउरेस डाका हो
जनताको बनाई दुबैको भनाई १००% सहि हो",1
86,50117,"हेलो  @ECNOfficial यी टेस्टेड फेलिएर बुढा नेता चाहिदैन भनेर हामी मतदाताले भन्दा तिमीहरुको ** किन जलेको ?
#NoNotAgain",1
87,50119,"#UttarakhandElections2022 | हरक सिंह ने कहा- . उन्होंने मुझसे बिना बात किए हुए इतना बड़ा निर्णय ले लिया. मुझे लगता है कि विनाश काले विपरीत बुद्धि. 
https://t.co/dp4QoMVBGp",0
88,50120,"के मडगांव बम ब्लास्ट के साथ-साथ नरेंद्र दाभोलकर, गोविंद पनसारे और एम.एम. कलबुर्गी की हत्याओं का आरोप है. अदालती कार्रवाई जारी है. टीएमसी, ममता बैनर्जी जैसों का कोई दीन-ईमान नहीं (2/2) #GoaElections2022 #Goa",0
89,50121,"हेर्दैछु;
:writing_hand:चुनावमा प्रतिस्पर्धा गर्नका लागि बहुदलिय लोकतान्त्रिक पद्दति बिरुद्द छाडा शासकीय  शैलिमा नाङ्गो नाच देखाउदै उम्मेदवारी दिने माले, मसाले,मण्डले समिश्रणले भरिएको कांग्रेस, बाएमाले,माओवादी,समाजवादी आदि दलहरुको कारण यो शासकीय व्यवस्था नै अन्त गराउन बाध्य बनाउने शैली:writing_hand: https://t.co/pz2oxN6Qbk",1
90,50123,एकीकृत समाजवादी त्यागेर एमाले प्रवेश गरे भाइरल पुण्य गौतम - भाइरल गौतमले पार्टी प्रवशे कार्यक्रममा नेपाली कांग्रेसबाट काठमाडौं महानगरमा मेयरकी उम्मेदवार सृजना सिंहको आलोचना गरेका छन् । आफूलाई सृजनाको कुकुरले टोेकेको र रेबिजविरुद्धको सुई लगाउन पनि बाँकी रहेको भन्दै गौतम कड्किए ।,0
91,50124,करुवा ले हरुवा बनाइदीएछ त देउवा लाइ :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,0
92,50125,"Expressions of #Siddhu was like : अरे Pencho बस कर... काट तो दिया और कितना करवाएगा :grimacing_face:
#PunjabElections2022 #NavjotSinghSidhu #CharanjitSinghChanni https://t.co/BxENlcm93F",0
93,50127,निर्वाचन आयोगका पदाधिकारीलाई पनि #NoNotAgain भनौ । यि राणा सासनका खाचान्जी हुन की देउवा प्रचण्डका भरौटे ?,0
94,50128,@anupdgn यसपाली बालेनले काठमाडौंमा मेयर जितेनन् भने अमेरिका लगेर नि जिताउँछन् केरे :face_with_tears_of_joy:,0
95,50129,"वीरवल भाको भए अहिलेसम्म त खिचडी पकाइ सकेर अकवरलाई ख्वाइ पनि सक्थे होलान् ? 
तर यो कछुवा जस्तो निर्वाचन आयोगले पाकिसकेको खिचडी जस्तो नतिजा पस्किन सकेको छैन बाई ! :face_savoring_food:",1
96,50131,"याे तअब निर्वाचन अायाेग लाई नै भन्ने हाे 
#NoNotAgain",1
97,50132,दलहरुको सिण्डिकेट भन्दा माथी उठेर मेयरमा Balen Shah (लौरो) र  उपमेयरमा Bidhya Shrestha Maharjan  (अाँखिझ्यालमा) भोट । https://t.co/9D5ZiiLMNW,1
98,50133,"यसपटककाे निर्वाचन आयाेगले कामै नगरि त्यत्राे बजेट पचाईदियाे। सरकार काँग्रेसकाे हाेस्, एमालेकाे हाेस्, माओवादीकाे हाेस् वा अरु कसैकाे हाेस्, यस्ताे प्रतिगामी निर्वाचन आयाेग चै आईन्दा कसैले नबनाउन्। यस्ताे आयाेग बनाउनु उनीहरुकै लागि नाेक्सानदायी छ।",1
